iter	Passed	Remaining
411	3783	5399
412	3792	5389
413	3800	5379
414	3809	5369
415	3817	5359
416	3826	5349
417	3834	5339
418	3843	5329
419	3851	5318
420	3860	5308
421	3868	5298
422	3877	5289
423	3886	5279
424	3894	5269
425	3903	5260
426	3912	5250
427	3921	5240
428	3929	5230
429	3938	5220
430	3946	5210
431	3955	5200
432	3964	5191
433	3973	5181
434	3981	5171
435	3990	5162
436	3999	5152
437	4008	5143
438	4017	5133
439	4025	5123
440	4034	5114
441	4046	5108
442	4064	5110
443	4085	5115
444	4106	5121
445	4120	5118
446	4131	5111
447	4142	5104
448	4153	5096
449	4161	5086
450	4170	5077
451	4179	5067
452	4188	5057
453	4196	5047
454	4205	5037
455	4213	5026
456	4222	5017
457	4231	5007
458	4239	4996
459	4247	4986
460	4256	4976
461	4265	4966
462	4273	4956
463	4282	4946
464	4291	4936
465	4299	4927
466	4308	4917
467	4317	4907
468	4325	4897
469	4334	4887
470	4342	4877
471	4351	4867
472	4360	4858
473	4368	4848
474	4377	4837
475	4385	4828
476	4394	4818
477	4403	4808
478	4412	4799
479	4421	4789
480	4429	4779
481	4438	4769
482	4446	4759
483	4455	4749
484	4464	4740
485	4472	4730
486	4481	4720
487	4489	4710
488	4498	4701
489	4507	4691
490	4516	4681
491	4524	4672
492	4533	4662
493	4542	4652
494	4550	4642
495	4559	4632
496	4568	4623
497	4576	4613
498	4585	4603
499	4593	4593
500	4602	4584
501	4611	4574
502	4620	4565
503	4628	4555
504	4637	4545
505	4646	4536
506	4654	4526
507	4663	4516
508	4671	4506
509	4680	4496
510	4688	4486
511	4697	4477
512	4706	4467
513	4715	4458
514	4723	4448
515	4732	4438
516	4741	4429
517	4749	4419
518	4758	4409
519	4766	4400
520	4775	4390
521	4784	4380
522	4792	4371
523	4801	4361
524	4809	4351
525	4818	4341
526	4826	4332
527	4835	4322
528	4844	4312
529	4852	4303
530	4861	4293
531	4870	4284
532	4878	4274
533	4887	4264
534	4895	4255
535	4903	4245
536	4913	4236
537	4921	4226
538	4930	4216
539	4939	4207
540	4947	4197
541	4956	4188
542	4965	4178
543	4973	4169
544	4982	4159
545	4991	4150
546	4999	4140
547	5008	4130
548	5016	4121
549	5025	4111
550	5034	4102
551	5042	4092
552	5051	4083
553	5060	4073
554	5069	4064
555	5077	4054
556	5086	4045
557	5094	4035
558	5103	4026
559	5116	4020
560	5137	4020
561	5159	4021
562	5179	4020
563	5195	4016
564	5209	4011
565	5221	4003
566	5230	3994
567	5238	3984
568	5247	3974
569	5255	3964
570	5264	3955
571	5272	3945
572	5281	3935
573	5290	3926
574	5298	3916
575	5307	3907
576	5316	3897
577	5325	3888
578	5334	3878
579	5342	3868
580	5351	3859
581	5360	3849
582	5369	3840
583	5377	3830
584	5386	3821
585	5395	3811
586	5403	3802
587	5412	3792
588	5421	3782
589	5429	3773
590	5438	3763
591	5447	3754
592	5455	3744
593	5464	3735
594	5473	3725
595	5481	3715
596	5490	3706
597	5499	3696
598	5508	3687
599	5516	3677
600	5525	3668
601	5533	3658
602	5542	3648
603	5550	3639
604	5559	3629
605	5568	3620
606	5576	3610
607	5585	3601
608	5596	3593
609	5606	3584
610	5615	3575
611	5624	3565
612	5634	3556
613	5642	3547
614	5651	3537
615	5659	3528
616	5668	3518
617	5677	3509
618	5685	3499
619	5694	3489
620	5703	3480
621	5712	3471
622	5720	3461
623	5729	3452
624	5737	3442
625	5746	3433
626	5754	3423
627	5763	3413
628	5771	3404
629	5780	3394
630	5788	3385
631	5797	3375
632	5805	3366
633	5814	3356
634	5822	3346
